Application_order,Course,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Gender,Scholarship_holder,Age_at_enrollment,Unemployment_rate,Inflation_rate,GDP,Status,Total_enrolled_grade,Total_enrolled_units,Total_approved_units,Total_evaluation_units
5,Animation and Multimedia Design,122.0,19,12,5,9,127.3,Yes,Male,No,20,10.8,1.4,1.74,Dropout,0.0,0,0,0
1,Tourism,160.0,1,3,3,3,142.5,Yes,Male,No,19,13.9,-0.3,0.79,Graduate,27.666666669999998,12,12,12
5,Communication Design,122.0,37,37,9,9,124.8,Yes,Male,No,19,10.8,1.4,1.74,Dropout,0.0,12,0,0
2,Journalism and Communication,122.0,38,37,5,3,119.6,Yes,Female,No,20,9.4,-0.8,-3.12,Graduate,25.82857143,12,11,18
1,Social Service (evening attendance),100.0,37,38,9,9,141.5,No,Female,No,45,13.9,-0.3,0.79,Graduate,25.333333330000002,12,11,15
1,Management (evening attendance),133.1,37,37,9,7,114.8,No,Male,No,50,16.2,0.3,-0.92,Graduate,23.35714286,10,10,27
1,Nursing,142.0,19,38,7,10,128.4,Yes,Female,Yes,18,15.5,2.8,-4.06,Graduate,27.645000000000003,15,15,17
4,Tourism,119.0,37,37,9,9,113.1,Yes,Male,No,22,15.5,2.8,-4.06,Dropout,0.0,10,0,10
3,Social Service,137.0,1,1,9,9,129.3,No,Female,Yes,21,16.2,0.3,-0.92,Graduate,28.01785714,12,12,15
1,Social Service,138.0,1,19,4,7,123.0,Yes,Female,No,18,8.9,1.4,3.51,Dropout,24.9,12,7,23
1,Advertising and Marketing Management,139.0,38,19,5,7,130.6,Yes,Female,No,18,13.9,-0.3,0.79,Graduate,26.533333329999998,12,11,13
1,Nursing,136.0,19,38,9,9,119.3,Yes,Female,Yes,18,12.7,3.7,-1.7,Graduate,26.42857142,16,14,16
2,Basic Education,133.0,19,37,4,9,130.2,Yes,Female,No,19,12.7,3.7,-1.7,Dropout,0.0,12,0,6
1,Tourism,110.0,1,1,4,7,111.8,Yes,Female,Yes,21,8.9,1.4,3.51,Graduate,21.571428570000002,12,11,15
1,Veterinary Nursing,149.0,38,37,5,5,137.1,Yes,Female,Yes,18,10.8,1.4,1.74,Graduate,25.25,10,9,12
1,Journalism and Communication,127.0,19,37,9,3,120.7,Yes,Female,No,20,15.5,2.8,-4.06,Dropout,13.2,12,5,13
1,Social Service,137.0,19,38,5,8,137.4,Yes,Female,No,18,10.8,1.4,1.74,Enrolled,23.0,12,3,24
